pl_name,default_flag,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_kmag,sy_kmagerr1,sy_kmagerr2
55 Cnc e,1,1,Published Confirmed,0,0.7365474,0.0000013,-0.0000014,0,0.01544,0.00005,-0.00005,0,0.1672763,0.00258721,-0.00258721,0,0.02513923,0.00100683,-0.00103829,0,Mass,6.66,0.43,-0.4,0,0.05,0.03,-0.03,0,,,,,83.59,0.47,-0.44,0,2457063.21,0.0006,-0.0004,0,0,0.39,0.03,-0.03,0,,,,,,,,,3.52,0.01,-0.01,0,0.0182,0.0002,-0.0002,0,,,,,,,,,86,30.7,-33.4,0,,,,,,,,,5172,18,-18,0,0.943,0.01,-0.01,0,0.905,0.015,-0.015,0,0.35,0.1,-0.1,0,4.43,0.02,-0.02,0,4.015,0.036,-0.036
AU Mic b,1,1,Published Confirmed,0,8.46308,0.00006,-0.00006,0,0.0649,0.0012,-0.0012,0,0.353,0.013,-0.013,0,,,,,,,,,,0.00577,0.00101,-0.00101,0,600,17,-16,0,89.57917,0.37639,-0.37639,0,2458525.041,0.00052,-0.00051,0,1,0.134,0.096,-0.089,0,0.2379,0.01,-0.0099,0,3.4927,0.0074,-0.0067,0,18.79,0.5,-0.59,0,0.0488,0.001,-0.001,0,,,,,2458322.77,0.83,-2.3,0,88.4304,0.0578,-0.0578,0,,,,,,,,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,4.404,0.026,-0.031,0,4.529,0.02,-0.02
AU Mic c,1,1,Published Confirmed,0,18.85969,0.00008,-0.00008,0,0.1108,0.002,-0.002,0,0.225,0.022,-0.022,0,,,,,,,,,,0.00338,0.00164,-0.00164,0,459,13,-12,0,89.22655,0.21654,-0.21654,0,2458342.224,0.0019,-0.0018,0,0,0.3,0.13,-0.19,0,0.097,0.018,-0.017,0,4.236,0.029,-0.029,0,32.05,0.86,-1,0,0.0311,0.0028,-0.0028,0,,,,,2458324,2.9,-3.7,0,223.2844,1.6836,-1.6836,0,,,,,,,,,3678,90,-88,0,0.744,0.023,-0.021,0,0.51,0.028,-0.027,0,0.23,0.24,-0.3,0,4.404,0.026,-0.031,0,4.529,0.02,-0.02
BD+05 4868 A b,1,1,Published Confirmed,0,1.271869,0.000001,-0.000001,0,0.0208,0.0003,-0.0003,0,,,,,0.01950738,,,1,Mass,,,,,,,,,1820,45,-45,0,,,,,2460556.289,0.0003,-0.0003,0,0,,,,,1.4,0.6,-0.6,0,,,,,6.4,0.2,-0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,4596,65,-64,0,0.69,0.02,-0.02,0,0.7,0.02,-0.02,0,-0.05,0.08,-0.05,0,4.6,0.03,-0.02,0,7.448,0.026,-0.026
BD+20 594 b,1,1,Published Confirmed,0,41.6855,0.003,-0.003,0,,,,,0.23,0.01,-0.01,0,0.07,0.03,-0.03,0,Mass,,,,,0,,,0,,,,,89.55,0.16,-0.16,0,,,,,0,,,,,0.049,0.0025,-0.0025,0,,,,,55.8,3.3,-3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0,-0.15,,,0,4.5,0.08,-0.08,0,9.368,0.018,-0.018
BD-14 3065 b,1,1,Published Confirmed,0,4.2889731,0.0000052,-0.0000052,0,0.0656,0.0026,-0.0026,0,1.926,0.094,-0.094,0,12.37,0.92,-0.87,0,Mass,2.15,0.53,-0.48,0,0.066,0.0098,-0.011,0,2001,31,-31,0,80.78,0.24,-0.3,0,2459313.486,0.00076,-0.00076,0,0,0.9099,0.0092,-0.0079,0,0.649,0.023,-0.02,0,3.086,0.041,-0.041,0,6.01,0.12,-0.13,0,0.0843,0.0023,-0.0022,0,0.0482,0.0091,-0.011,0,,,,,54,6,-9.1,0,,,,,,,,,6935,90,-90,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,-0.34,0.05,-0.05,0,3.85,0.03,-0.03,0,9.932,0.026,-0.026
CoRoT-1 b,1,1,Published Confirmed,0,1.5089557,0.0000064,-0.0000064,0,,,,,1.49,0.08,-0.08,0,1.03,0.12,-0.12,0,Mass,0.38,0.05,-0.05,0,0,,,0,1898,50,-50,0,85.1,0.5,-0.5,0,2454159.453,0.0001,-0.0001,0,0,,,,,1.92654,0.058737,-0.0578552,0,,,,,4.92,0.08,-0.08,0,0.1388,0.0021,-0.0021,0,,,,,,,,,,,,,,,,,,,,,5950,150,-150,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.3,0.25,-0.25,0,4.25,0.3,-0.3,0,12.149,0.027,-0.027
CoRoT-10 b,1,1,Published Confirmed,0,13.2406,0.0002,-0.0002,0,0.1055,0.0021,-0.0021,0,0.97,0.07,-0.07,0,2.75,0.16,-0.16,0,Mass,3.7,0.83,-0.83,0,0.53,0.04,-0.04,0,600,23,-23,0,88.55,0.2,-0.2,0,2454273.344,0.0012,-0.0012,0,0,0.85,0.03,-0.03,0,1.61036,0.0978881,-0.0949999,0,2.98,0.06,-0.06,0,31.33,2.15,-2.15,0,0.1269,0.0038,-0.0038,0,,,,,2454990.85,0.08,-0.08,0,218.9,6.4,-6.4,0,,,,,,,,,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,0.26,0.07,-0.07,0,4.65,0.1,-0.1,0,11.782,0.021,-0.021
CoRoT-11 b,1,1,Published Confirmed,0,2.99433,0.000011,-0.000011,0,0.0436,0.005,-0.005,0,1.43,0.03,-0.03,0,2.33,0.34,-0.34,0,Mass,0.99,0.15,-0.15,0,0,,,0,1657,55,-55,0,83.17,0.15,-0.15,0,2454597.679,0.0003,-0.0003,0,0,0.818,0.008,-0.008,0,1.1449,0.010725,-0.010675,0,2.5009,0.0144,-0.0144,0,6.89,0.08,-0.08,0,0.107,0.0005,-0.0005,0,,,,,,,,,,,,,,,,,,,,,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,-0.03,0.08,-0.08,0,4.22,0.23,-0.23,0,11.248,0.022,-0.022
CoRoT-12 b,1,1,Published Confirmed,0,2.828042,0.000013,-0.000013,0,0.04016,0.00093,-0.00092,0,1.44,0.13,-0.13,0,0.917,0.07,-0.065,0,Mass,0.411,0.129,-0.094,0,0.07,0.063,-0.042,0,1442,58,-58,0,85.48,0.72,-0.77,0,2454398.627,0.00036,-0.00036,0,0,0.573,0.027,-0.03,0,1.744,0.039,-0.04,0,2.57424,0.02136,-0.0216,0,,,,,,,,,,,,,,,,,105,90,-27,0,,,,,,,,,5675,80,-80,0,1.116,0.096,-0.092,0,1.078,0.077,-0.072,0,0.16,0.1,-0.1,0,4.375,0.065,-0.062,0,13.557,0.042,-0.042
